behavior_id,tool,behavior,legacy_source,rust_source,existing_test_id,missing_test,fixture_requirements,expected_artifacts,risk,current_parity_status
shared.json,harness,"Duplicate keys; scalar types; array order; metric indices; Python 2 table order; semantic timestamps",8401169:src/python/qfy.py:187-222;legacy metrics JSON,rust/src/roc.rs::python27_dict_iteration_order;rust/src/parity_verifier.rs::compare_json,"unit:python27_metrics_dictionary_preserves_pinned_iteration_order;duplicate_json_object_keys_are_rejected;metric_order_and_types_indexes_remain_semantic",false,"synthetic JSON;live metrics JSON","*.json;*.json.gz",high,fixed
shared.roc_integrity,harness,"Exact row width; nonempty identities; unique identity tuple; both sides and every ROC lane",8401169:src/python/Tools/roc.py,rust/src/parity_verifier.rs::validate_roc,unit:roc_integrity_accepts_complete_rows_and_rejects_corruption,false,synthetic gzip CSV,"*.roc.*.csv.gz",critical,fixed
shared.status_schema,harness,"Nonempty unique status identities; Boolean verdicts; exact counts; safe CSV and Markdown",verification/modules/diff.nf,rust/src/parity_verifier.rs::aggregate_report,unit:aggregate_report_*,false,synthetic status JSON,"status.json;report.csv;report.md",high,fixed
shared.diagnostics,shared,"stdout;stderr;log append behavior; progress; tracebacks",legacy wrapper logging,rust/src/main.rs;tool modules,cli_compat,true,golden failure invocations,"stdout;stderr;log;exit",high,residual
shared.concurrency,shared,"Threads 1/2/high; same prefix; interruption; cleanup; deterministic reruns",legacy blocksplit/process model,rust/src/vcf.rs::publication_lock,unit:concurrent_*,true,"whole-command same-prefix and signal fixtures","complete result tree",high,partial
shared.platform,shared,"macOS arm64 host and Linux container; package; linkage; size",packaging and Dockerfiles,Cargo.toml;verification/nextflow.config,release gates,true,"alternate architecture and MSRV CI","crate;binary",medium,partial
happy.invocation,happy,"Two positional VCFs; report prefix; reference; version; compare alias",8401169:src/python/hap.py:61-240,rust/src/cli.rs::CompareArgs,cli_compat,false,none,"exit;runinfo;summary",high,fixed
happy.selection,happy,"PASS; location; regions; targets; filters; filtered truth",8401169:src/python/hap.py;8401169:src/python/pre.py,rust/src/compare.rs::run,happy.pass_location,false,pinned chr21 and synthetic BED,"result.summary.csv;result.extended.csv",high,covered
happy.preprocessing,happy,"Left shift; decomposition; gVCF; set GT; gender; fixchr; REF matching",8401169:src/python/pre.py,rust/src/preprocess.rs,happy.gt_fix_normalize,false,synthetic normalization fixtures,"result.vcf.gz;result.vcf.gz.tbi",critical,covered
happy.engines,happy,"xcmp; scmp allele/distance; vcfeval; unhappy",8401169:src/python/hap.py:450-540,rust/src/compare.rs::run,happy.scmp_distance,true,"real RTG phase and tetraploid triads","all comparison reports",critical,partial
happy.implicit_bcf,happy,"Two BCF inputs implicitly select BCF report without changing explicit bcf metadata or subset sizing",8401169:src/python/hap.py:255-260,rust/src/compare.rs::run,"unit:paired_bcf_inputs_implicitly_enable_bcf_reports_and_intermediates;live:happy.bcf_input_implicit",false,"paired BCF/CSI row","result.bcf;result.bcf.csi;result.runinfo.json;metrics",high,fixed
happy.region_validation,happy,"-R rejects out-of-order and overlapping intervals; -T remains permissive",8401169:src/python/hap.py:198-203,rust/src/compare.rs::validate_legacy_regions,unit:restrict_regions_reject_legacy_overlap*,true,"failure oracle row","exit;no result",high,fixed
happy.output_parent,happy,"Missing report parent fails before scratch and output creation",8401169:src/python/hap.py:221-226,rust/src/compare.rs::run,unit:missing_report_parent_fails_before_creating_artifacts,true,"failure oracle row","exit;no artifacts",high,fixed
happy.empty_truth,happy,"Empty truth plus nonempty query fails default contig discovery unless location explicit",8401169:src/python/hap.py:330-342,rust/src/compare.rs::run,unit:empty_truth_requires_explicit_location_like_legacy,true,"failure oracle row","exit;no report",high,fixed
happy.vcfeval_preserve_info,happy,"Pinned legacy crashes with vcfeval plus preserve-info",8401169:src/python/hap.py:495-521,rust/src/compare.rs::run,unit:vcfeval_with_paired_bcf_inputs_keeps_vcf_handoff_and_publishes_bcf,false,"RTG template and failure artifact capture","runinfo;partial outputs;exit",medium,fixed
sompy.selection,sompy,"Location; regions; targets; FP denominator; non-PASS",8401169:src/python/som.py:54-193,rust/src/somatic.rs::run,sompy.location_denominator,false,somatic matrix,"result.stats.csv",high,covered
sompy.ambiguity,sompy,"Repeated ambiguity BEDs; precedence; explanation rows",8401169:src/python/som.py:423-700,rust/src/somatic.rs::run,"sompy.ambiguity_last_on;unit:empty_ambiguity_explanations_do_not_create_detail_tables",false,"zero-overlap explanation fixture","ambiguity CSVs;stats;metrics",high,fixed
sompy.callers,sompy,"Generic; Strelka; Mutect; VarScan2; Pisces tables and sample order",8401169:src/python/Somatic,rust/src/ftx;rust/src/somatic.rs,sompy.happy_custom_af,true,"realistic multi-sample caller fixtures","features;stats;ROC",high,partial
sompy.af_edges,sompy,"AF bin zero; negative; NaN; infinity; custom fields",8401169:src/python/som.py:202-212;804-857,rust/src/somatic.rs::validate_options,"unit:af_controls_match_legacy_validation_independently_of_happy_stats;af_bin_edge_values_follow_the_pinned_python_loop",false,"direct pinned edge invocations","stats;ROC;exit",high,fixed
sompy.runtime,sompy,"Scratch continue; output parents; same-prefix concurrency; logging",8401169:src/python/som.py,rust/src/somatic.rs,unit:scratch_lifecycle_logging_and_verbosity_are_operational,true,"concurrent and failure oracle cases","result*;log;exit",medium,partial
prepy.samples,prepy,"Sites-only VCF rejected; sample layouts preserved",8401169:src/c++/main/vcfcheck.cpp:237-240,rust/src/preprocess.rs::run,unit:sites_only_input_is_rejected,false,synthetic sites-only,"exit;no output",high,fixed
prepy.reference,prepy,"Reference FAI required; disabled normalization permits REF mismatch",8401169:src/python/pre.py;Tools/fastasize.py,rust/src/preprocess.rs::run,unit:missing_reference_index_is_rejected,false,existing compact fixtures,"result.vcf.gz;result.vcf.gz.tbi;exit",high,fixed
prepy.plain_output,prepy,"Plain VCF is retained unindexed and command fails",8401169:src/python/pre.py:180-206,rust/src/preprocess.rs::run,unit:plain_vcf_output_is_retained_on_index_failure,false,"failure oracle row","plain VCF;no index;exit",high,fixed
prepy.fixchr_selectors,prepy,"Literal selectors after fixchr; lowercase x gender bug; chrMT rewrite",8401169:src/python/pre.py,rust/src/preprocess.rs,unit:fixchr_*_legacy*,false,"live selector rows","result.vcf.gz;result.vcf.gz.tbi",high,fixed
prepy.window,prepy,"Signed negative window accepted when blocksplit unused",8401169:src/python/pre.py:343-349,rust/src/cli.rs::PreprocessArgs,"unit:negative_window_is_accepted_when_blocksplit_is_unused;blocksplit_preserves_negative_window_gap_arithmetic",false,">100-record negative blocksplit fixture","result VCF or exit",medium,fixed
prepy.output_parent,prepy,"Missing output parent fails without creation",8401169:src/python/Tools/bcftools.py,rust/src/preprocess.rs::run,unit:missing_output_parent_is_not_created,false,"failure oracle row","exit;no output",high,fixed
ftxpy.callers,ftxpy,"Eleven caller tables; labels; sample orders; empty input",8401169:src/python/Somatic;src/python/ftx.py,rust/src/ftx,"ftxpy.mutect_reversed_samples;unit:pisces_missing_or_malformed_required_numbers_are_rejected;mutect_missing_ad_is_rejected",false,"realistic malformed caller headers","result.features.csv",high,fixed
ftxpy.bam_index,ftxpy,"Missing either BAM index spelling succeeds with zero depth; both index spellings recognized",8401169:src/python/Tools/bamstats.py,rust/src/ftx/bam_depth.rs,unit:missing_bai_yields_zero_coverage,true,"corrupt stale mismatched BAI","result.features.csv",high,partial
ftxpy.selectors,ftxpy,"Location regions and targets remain literal after record fixchr",8401169:src/python/Tools/bcftools.py,rust/src/ftx/mod.rs::prepare_records,unit:fix_chr_does_not_rewrite_region_or_target_bed_contigs,true,"live R/T and single-position rows","result.features.csv",high,fixed
ftxpy.output_parent,ftxpy,"Missing output parent fails without creation",8401169:src/python/ftx.py:126-129,rust/src/ftx/mod.rs::run,unit:missing_output_parent_is_not_created,false,"failure oracle row","exit;no CSV",high,fixed
ftxpy.scoring_headers,ftxpy,"Duplicate and whitespace Strelka scoring header semantics",8401169:src/python/Somatic/Strelka.py:45-59,rust/src/ftx/common.rs::parse_scoring_features,"unit:parse_scoring_features_preserves_whitespace;parse_scoring_features_appends_every_matching_header",false,"duplicate/malformed scoring headers","result.features.csv;exit",medium,fixed
qfy.count_precedence,qfy,"Write/no-write counts and repeated scalar last-token precedence",8401169:src/python/qfy.py:251-257,rust/src/cli.rs::QuantifyArgs,qfy.counts_last_off,false,indexed annotated VCF,"summary;optional extended",high,fixed
qfy.input_index,qfy,"Quantifier input must be indexed; plain and unindexed compressed inputs fail",8401169:src/c++/main/quantify.cpp:316-330,rust/src/quantify.rs::require_quantifier_index,unit:quantify_requires_indexed_input,true,"live BCF and failure rows","reports or exit",critical,fixed
qfy.sample_mapping,qfy,"Exact TRUTH and QUERY sample names can be reversed or have extras",8401169:src/c++/main/quantify.cpp:433-464,rust/src/quantify.rs::benchmark_sample_indices,unit:benchmark_sample_indices_follow_names,false,generated indexed variants,"counts;ROC;metrics",critical,fixed
qfy.roc_delta,qfy,"Explicit zero maps to low-level default 0.1",8401169:src/python/Haplo/quantify.py:136-137,rust/src/quantify.rs::legacy_roc_delta,unit:zero_roc_delta_uses_legacy_default,false,indexed annotated VCF,"ROC rows",high,fixed
qfy.regions_extent,qfy,"Preserve-info VCF synthesizes and declares RegionsExtent",8401169:src/c++/lib/quantify/QuantifyRegions.cpp:436-437,rust/src/quantify.rs::legacy_regions_extent,unit:preserve_info_synthesizes_regions_extent,false,indexed annotated VCF,"result.vcf.gz;index",high,fixed
qfy.strat_column4,qfy,"BED column four creates hierarchical dynamic lanes and parent labels",8401169:src/c++/lib/quantify/QuantifyRegions.cpp:217-260,rust/src/quantify.rs::load_stratifications,"qfy.four_column_strat;unit:four_column_stratifications_add_dynamic_child_lanes_and_parent_membership",false,"four-column stratification BED","extended;ROC;metrics;VCF",critical,fixed
vcfcheck.translation,vcfcheck,"check-bcf-errors false warns and skips; true fails on translation errors",8401169:src/c++/main/vcfcheck.cpp:280-303,rust/src/validate.rs::VcfHeader,vcfcheck.missing_contig,false,synthetic missing declarations,"result.json;stderr;exit",critical,fixed
vcfcheck.samples,vcfcheck,"Extra record samples ignored; missing columns skipped",8401169:src/c++/main/vcfcheck.cpp:402-405,rust/src/validate.rs::run_with_diagnostics,vcfcheck.sample_count_mismatch,false,synthetic malformed sample layout,"result.json",high,fixed
vcfcheck.sex,vcfcheck,"Literal X chrX chrx and location-specific lowercase x inference",8401169:src/c++/main/vcfcheck.cpp:498-508,rust/src/validate.rs::update_record_counts,vcfcheck.lowercase_x,false,synthetic lowercase contig,"result.json;stdout",high,fixed
vcfcheck.cli,vcfcheck,"Boost help/version/parse exits and duplicate scalar rejection",8401169:src/c++/main/vcfcheck.cpp:101-197,rust/src/cli.rs::ValidateArgs,cli_compat,true,golden help/version/error calls,"stdout;stderr;exit",medium,partial
